March1
Sept5
1100001G20Rik
1700020L24Rik
1700055N04Rik
2810417H13Rik
4632428N05Rik
4930511M06Rik
4930519G04Rik
4933431E20Rik
4933440M02Rik
6430548M08Rik
9830107B12Rik
A130077B15Rik
A630089N07Rik
AB124611
Abca13
Abcb4
Abcg1
Acaa2
Actn1
Adam28
Add2
Adpgk
Adssl1
Afap1
Agpat2
Ahnak
AI607873
Aif1
Alas1
Aldh3b1
Alox5
Alox8
Amica1
Angpt1
Anxa2
Anxa3
Aoah
Ap3s1
Apbb1
Apoe
Apol7b
Apol7e
App
Aqp1
Aqp7
Aqp9
Arglu1
Arhgdib
Arrb2
Arsb
Ass1
Atp1a3
Atp1b2
Atp6ap2
Atp6v0c
Atp6v0c-ps2
Atp8b4
B2m
B430306N03Rik
B4galnt1
B4galt6
Batf3
Baz1a
BC035044
Bex6
Bid
Blvrb
Btg2
Bzrap1
C1galt1c1
C3
C5ar1
C5ar2
Calcrl
Camk1d
Camp
Capn2
Car1
Car2
Cbfa2t3
Ccdc125
Ccl5
Ccr2
Cd177
Cd2
Cd300lb
Cd300lf
Cd34
Cd63
Cd7
Cd74
Cd97
Cdk2ap2
Cdon
Ceacam1
Cebpe
Cerk
Ces2g
Cfp
Chd7
Chil1
Chil3
Chst12
Chst13
Ciita
Ckb
Clca1
Cldn13
Cldn15
Clec12a
Clec4a2
Clec4d
Clec5a
Clec7a
Clec9a
Col5a1
Colec12
Cpa3
Csf1r
Csf2ra
Csrp3
Cst7
Ctcfl
Ctla2a
Ctla2b
Ctsg
Ctsh
Ctss
Ctsz
Cyba
Cybb
Cybrd1
Dgat2
Dhrs3
Dmkn
Dntt
Dok3
Dpep2
Dpysl2
Dstn
Dusp1
Dusp2
Ear2
Egfl7
Egr1
Elane
Eltd1
Emb
Epdr1
Epor
Ermap
Ero1l
Erp29
Ethe1
F10
F13a1
F2r
F2rl2
F630028O10Rik
Fabp5
Fam101b
Fam160a2
Fam49b
Far2
Fbxl12os
Fcer1g
Fcgr2b
Fcgr3
Fcnb
Fes
Fgd2
Fgl2
Fgr
Flot2
Flt3
Fos
Fosb
Ftl1
Fyb
G0s2
G630071F17Rik
G6pdx
Galns
Gas7
Gata1
Gata2
Gatm
Gca
Gcnt2
Gda
Gfi1
Gfi1b
Gimap1
Gimap6
Gjc3
Glipr1
Glrx
Gm10389
Gm12505
Gm15915
Gm15987
Gm1604b
Gm16287
Gm16702
Gm17644
Gm17757
Gm17821
Gm1966
Gm4070
Gm5113
Gm8979
Gnb1
Gnb4
Gng12
Gp1ba
Gp49a
Gpc1
Gpc6
Gpi1
Gpr141
Gpr157
Gpr56
Gpr84
Gpx3
Gramd1c
Gramd3
Gria3
Grk4
Gsn
Gsr
Gstm1
Gstm5
Gucy1a3
Gvin1
Gypa
H2-Aa
H2-Ab1
H2-Eb1
H2-Q4
Hdc
Hemgn
Hexa
Hk3
Hlf
Hmgn2
Hoxd11
Hp
Hsd11b1
Hvcn1
Icam4
Id2
Idh1
Ifi205
Ifitm1
Ifitm3
Ifitm6
Igsf6
Ikzf2
Il1r1
Il6st
Inhba
Irf8
Itga2b
Itgam
Itgb2
Itgb2l
Itgb7
Itpripl1
Jun
Kcnip3
Kcnq1ot1
Kctd20
Kdm6b
Kel
Klf1
Klhl41
Klk14
Klrb1c
Klrd1
Klri2
Kmo
L1cam
Lat
Lbp
Lcn2
Lgals1
Lgals3
Lifr
Lrg1
Lrrn4cl
Lta4h
Ltb4r1
Ltf
Ly6c1
Ly6c2
Ly6f
Ly6i
Ly86
Lyz1
Lyz2
Malat1
Manf
Mapk13
Mapkapk3
Mcemp1
Mcmdc2
Mcu
Mecom
Med21
Mefv
Meis1
Met
Mfsd2b
Mfsd4
Mgam
Mgl2
Mgst1
Mgst2
Milr1
Mmp25
Mmp9
Mmrn1
Mn1
Mogat2
Mpeg1
Mpl
Mpo
Mrgpra2b
Ms4a3
Ms4a4c
Ms4a6c
Msi2
Msrb1
Mt1
Mtus1
Muc13
Mycl
Myct1
Mylk4
Myo1e
Naaa
Ncam1
Ncf1
Ncf4
Ncr1
Neu1
Nfia
Ngp
Nhsl2
Nmrk1
Notch2
Npc2
Nqo1
Nrg1
Nrgn
Nrp1
Nucb2
Olfml2b
Olfr613
Olr1
Optn
Orm1
P4hb
Pan3
Papss2
Pbx1
Pde2a
Pde4b
Pdia4
Pdia6
Pdzk1ip1
Pf4
Pgam1
Pgd
Pglyrp1
Phkb
Pigr
Pilra
Pilrb1
Pilrb2
Pitpnc1
Pkib
Pklr
Plbd1
Pld4
Plin3
Plod3
Pnkp
Ppfia4
Ppp1r42
Pqlc2
Pram1
Prdx5
Prkcb
Prom1
Prss57
Prtn3
Psap
Ptgr1
Ptgs1
Ptpn14
Ptpro
Ptrf
Pxylp1
Pygl
Pyhin1
Rab27b
Rab32
Rab44
Rasa4
Rasgrp2
Rassf4
Rbm26
Rbp1
Reps2
Retnlg
Rgcc
Rgs1
Rhag
Rhd
Rhou
Rhox8
Rn45s
Rnaseh2c
Rnd3
Rps6ka1
Rps6ka2
Rrm2
Rtp4
S100a11
S100a8
S100a9
Samd12
Samsn1
Satb1
Sdf2l1
Sdpr
Sell
Selplg
Sema4a
Serpina3g
Serpinb1a
Sgms2
Siglece
Slamf7
Slamf8
Slc14a1
Slc22a3
Slc25a21
Slc28a2
Slc28a3
Slc38a5
Slc40a1
Slc45a3
Slc46a3
Slpi
Smco1
Smim5
Snx21
Soat1
Sox4
Spire1
Spns2
Stom
Sun2
Surf4
Svip
Syne1
Syngr2
Syt11
Tanc1
Tcf7l2
Tcn2
Tfec
Tgfbr3
Tgtp2
Tifab
Tinagl1
Tk1
Tmed3
Tmem176b
