genes
Krt42
Apoe
Ly6d
Fabp5
Ptx3
Eln
Spp1
Krt17
Dcun1d5
Igf2
Mmp10
Krt90
Krt6a
Lypd3
Cxcl9
Krt15
H19
Gpx3
Mmp13
Mgp
Adm
Il1rl1
Prr9
Krtdap
Fgfbp1
Csf3
Slpi
Epgn
Il6
Serping1
Mmp9
Fabp4
Col6a3
Tacstd2
Cxcl14
Lrrc15
Aasdhppt
Lamc2
Plet1
Sfrp2
Areg
Serpinb2
Iigp1
Crabp1
Tnfaip6
Mmp3
Gclm
S100a9
Serpina3n
C1qtnf3
Clu
Lum
X1500015O10Rik
Cxcl5
Rgs16
BC100530
Mest
S100a8
Dync2h1
Krt16
Cldn4
Pappa
Cxcl3
Prl2c3
Ogn
Ccl7
Acta2
Serpine2
X2610528A11Rik
Nrep
Col12a1
Nppb
Aldh3a1
Igfbp2
Epcam
Msantd4
Sostdc1
Itm2a
Col14a1
Il1a
Gjb2
Actg2
Serpinb9b
Itih5
Dmkn
Dpt
Stfa3
Hilpda
Fmod
Cxcl10
Omd
Rrad
Il24
Fmo2
Lcn2
Krt8
Erfe
Gdf10
Cd24a
Prl8a9
Upk1b
Wif1
Apod
Angptl7
Lama3
Sod3
Krt5
Chil1
Spon1
Igfbp3
Gpx2
Cpxm1
Igf1
Mmp12
Fibin
Ccnb2
Ereg
Crispld2
Grem1
Aspn
Tnn
Steap4
Nr4a3
Fam84a
Fam180a
Kbtbd3
Tgfbi
Ankrd1
Wfdc18
Cyp1b1
Nr4a2
Rgs2
Parm1
Il23a
Ccl2
Aqp3
Has1
Dcn
Krt6b
Cwf19l2
Tmem176b
Hcar2
Ccrl2
Aldh1a1
Cldn1
Igtp
Prl2c5
Krt14
Mfap5
Prelp
Thbs2
Sult2b1
Scara5
Cldn8
Pthlh
Cst3
Upp1
Zfp750
Gbp2
Usp18
Fam213a
Rgs4
Tnfrsf9
Htra3
Vcam1
Olfml3
Ero1l
Msln
Ccn2
Prl2c2
Ly6c1
Depp1
Tnfsf9
Plagl1
Stmn2
Klk8
Tmem123
Col11a1
Cpxm2
Plbd1
Krt18
Efna1
Edn1
Urah
Dhrs3
Car12
Itgbl1
Rab25
Col17a1
Tmem176a
S100a14
Lmcd1
Serpinb1a
Sparcl1
Akap12
Eno3
Mme
Ccn5
Irgm1
Gem
Aqp1
Bambi
Myl9
Sprr1a
Dio2
Gsta4
Lepr
Gpnmb
Pgf
Lama2
Egln3
Tnf
Ehf
Tnfsf11
AA467197
Crct1
Wfdc2
Ovol1
Birc5
Cfh
Pamr1
